"tissue"	"locus"	"locstart"	"locstop"	"chr"	"index"	"pheno"	"genestart"	"genestop"	"p"	"genename"	"p_meta"	"SignifGene"	"p_conditional"
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121416346	121440315	0.0288131762	"HNF1A"	0.3445	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121458095	121477045	0.0001480687	"OASL"	0.2724	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121647660	121671909	0.5522795679	"P2RX4"	0.8692	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120427673	120532298	0.9634809475	"CCDC64"	0.7975	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	122089024	122110537	0.7438402641	"MORN3"	0.2585	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27681675	27693383	0.0618661695	"MAP3K6"	0.1998	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27668513	27680421	0.1617161919	"SYTL1"	0.02037	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27561007	27635110	0.3719801593	"WDTC1"	0.8454	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121200313	121342174	0.4862451091	"SPPL3"	0.6286	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121440225	121454305	2.0026732e-06	"C12orf43"	0.4056	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28296855	28415207	0.5413419028	"EYA3"	0.5821	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27730730	27816669	0.9898458727	"WASF2"	0.695	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27331511	27339327	0.1682368399	"FAM46B"	0.1946	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52027616	52029958	0.0199320814	"RPL29"	0.002765	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52828784	52843025	1.3443e-05	"ITIH3"	0.9611	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28995244	29045865	0.0260713943	"GMEB1"	0.04533	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52435029	52444366	0.2713838154	"BAP1"	0.2986	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	53258723	53290068	0.0865351579	"TKT"	0.2485	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	53190025	53226733	0.2594372331	"PRKCD"	0.6545	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	53122499	53164478	0.3446862439	"RFT1"	0.3056	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52937588	53080766	0.2061179075	"SFMBT1"	0.6299	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52715172	52728508	8.6972007e-06	"GNL3"	0.03349	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52082935	52090566	0.0047692048	"DUSP7"	0.2247	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52109269	52188706	0.4939664608	"POC1A"	0.1595	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52279841	52284613	5.62692e-05	"PPM1M"	0.04818	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52288437	52322036	0.0636829787	"WDR82"	0.474	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121016567	121019201	0.0025478965	"POP5"	0.8655	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52321105	52329272	0.0015975597	"GLYCTK"	0.01899	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52558386	52569070	0.0032786657	"NT5DC2"	0.09065	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28473677	28520447	0.2253787783	"PTAFR"	0.03871	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121837844	121868389	0.0050441661	"RNF34"	0.09461	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120881764	120884215	0.455979531	"TRIAP1"	0.567	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27705666	27709870	0.6074598874	"CD164L2"	0.5643	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28832455	28865812	0.0699948397	"RCC1"	0.7738	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27719148	27722318	0.7906576551	"GPR3"	0.6365	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	122064455	122080583	0.7671160595	"ORAI1"	0.1838	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27648651	27662891	0.8086795536	"TMEM222"	0.4198	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	29063133	29096287	0.0535128556	"YTHDF2"	0.03467	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28696114	28826881	0.1339484658	"PHACTR4"	0.1132	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52870235	52931612	0.061930865	"TMEM110"	0.5218	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52847298	52869745	0.0854452784	"RP5-966M1.6"	0.8645	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52262626	52273276	0.0202319016	"TWF2"	0.1067	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52005442	52015212	0.2478790064	"ABHD14A"	0.5638	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27320198	27327389	0.2358288394	"TRNP1"	0.95	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120884241	120899389	0.0021947802	"GATC"	0.305	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52255096	52273183	0.6533639771	"TLR9"	0.7928	0	NA
"DGN"	4	27285973	29294607	1	"XKR8"	"RBC_invnorm"	28285973	28294607	4.3501014e-07	"XKR8"	0.4396	1	NA
"DGN"	17	51744800	53804965	3	"NEK4"	"RBC_invnorm"	52744800	52804965	1.6822534e-07	"NEK4"	0.03661	1	0.0440048537
"DGN"	79	120148238	122161443	12	"UNC119B"	"MCV_invnorm"	121124672	121139667	5.752415e-16	"MLEC"	0.004725	1	0.655670586
"DGN"	79	120148238	122161443	12	"UNC119B"	"MCV_invnorm"	121078355	121105127	6.5248195e-09	"CABP1"	0.0167	1	0.1802161374
"DGN"	79	120148238	122161443	12	"UNC119B"	"MCV_invnorm"	121148238	121161443	5.039824e-17	"UNC119B"	0.002908	1	0.9446774491
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	52489134	52527087	0.7942646502	"NISCH"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	52846991	52865495	3.60706e-05	"ITIH4"	NA	0	NA
"GTL"	NA	NA	NA	12	""	"MCV_invnorm"	120941077	120972237	0.895057667	"COQ5"	NA	0	NA
"GTL"	NA	NA	NA	12	""	"MCV_invnorm"	121647660	121671909	0.3556894624	"P2RX4"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	52027616	52029958	0.5836615257	"RPL29"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	53258723	53290068	0.0760308456	"TKT"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	53122499	53164478	0.9625213066	"RFT1"	NA	0	NA
"GTL"	NA	NA	NA	12	""	"MCV_invnorm"	121016567	121019201	0.0021559494	"POP5"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	52558386	52569070	1.7593e-05	"NT5DC2"	NA	0	NA
"GTL"	NA	NA	NA	1	""	"RBC_invnorm"	27719148	27722318	1.80192e-05	"GPR3"	NA	0	NA
"GTL"	NA	NA	NA	1	""	"RBC_invnorm"	28696114	28826881	0.6414082241	"PHACTR4"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	52870235	52931612	0.2996433255	"TMEM110"	NA	0	NA
"GTL"	NA	NA	NA	3	""	"RBC_invnorm"	52407668	52408898	1.7627239e-06	"RP11-168J18.6"	NA	0	NA
"GTL"	NA	NA	NA	12	""	"MCV_invnorm"	120960467	120961246	0.5966893004	"RPL29P24"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	27938575	27961788	0.2948814059	"FGR"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28052490	28089633	0.7990553899	"FAM76A"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52529354	52558511	0.8481431276	"STAB1"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52846991	52865495	1.89276e-05	"ITIH4"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52811603	52826078	0.7744075769	"ITIH1"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	121746048	121837699	0.5824950156	"ANAPC5"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	120565007	120632513	0.2062012197	"GCN1L1"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	120740119	120751052	0.6312748978	"SIRT4"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	120941077	120972237	0.410885291	"COQ5"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52002526	52017425	0.0182965655	"ABHD14B"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28218035	28241257	0.0029780911	"RPA2"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	121163538	121177811	0.0006325713	"ACADS"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28525967	28559536	0.0390046967	"DNAJC8"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28586038	28609002	0.0309162578	"SESN2"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28261504	28285668	2.1457838e-06	"SMPDL3B"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28562620	28573417	0.0218013276	"ATPIF1"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28199055	28213196	0.2006481517	"THEMIS2"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	121458095	121477045	1.02361e-05	"OASL"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	121647660	121671909	0.451853194	"P2RX4"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	122089024	122110537	0.0311032362	"MORN3"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	27681675	27693383	0.0049424695	"MAP3K6"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	27561007	27635110	0.4142004584	"WDTC1"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	121200313	121342174	0.2185121811	"SPPL3"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	121440225	121454305	0.0359390799	"C12orf43"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28296855	28415207	0.0695117781	"EYA3"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	53317447	53381654	0.9700576284	"DCP1A"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	53258723	53290068	0.0760307767	"TKT"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	53122499	53164478	0.0525964704	"RFT1"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52937588	53080766	0.0010394469	"SFMBT1"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52321105	52329272	0.0011211537	"GLYCTK"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52558386	52569070	0.0085485866	"NT5DC2"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	120881764	120884215	0.0024243831	"TRIAP1"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	27705666	27709870	0.8272788333	"CD164L2"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	122064455	122080583	0.7248772276	"ORAI1"	NA	0	NA
"GWB"	NA	NA	NA	1	""	"RBC_invnorm"	28696114	28826881	0.063836445	"PHACTR4"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52870235	52931612	5.92294e-05	"TMEM110"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	53098299	53099107	0.3156749245	"SERBP1P3"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52005442	52015212	0.0365651408	"ABHD14A"	NA	0	NA
"GWB"	NA	NA	NA	12	""	"MCV_invnorm"	120884241	120899389	2.3274775e-06	"GATC"	NA	0	NA
"GWB"	NA	NA	NA	3	""	"RBC_invnorm"	52867130	52869235	4.3087167e-06	"MUSTN1"	NA	0	NA
"GWB"	59	120124672	122139667	12	"MLEC"	"MCV_invnorm"	121124672	121139667	8.90348e-15	"MLEC"	NA	1	0.8929108912
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52529354	52558511	0.6726269827	"STAB1"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	120971283	121015397	0.2447074191	"RNF10"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	120565007	120632513	0.8494433102	"GCN1L1"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	120941077	120972237	0.4260941271	"COQ5"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	121675497	121736111	0.6317633139	"CAMKK2"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	28218035	28241257	0.0124339363	"RPA2"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	28525967	28559536	0.0178520742	"DNAJC8"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	28562620	28573417	0.0155399738	"ATPIF1"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	28199055	28213196	0.7542595025	"THEMIS2"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	121647660	121671909	0.1109653342	"P2RX4"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	27681675	27693383	0.0877857289	"MAP3K6"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	27668513	27680421	0.0380507285	"SYTL1"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	121440225	121454305	0.0202649232	"C12orf43"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	28296855	28415207	0.0079065535	"EYA3"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52435029	52444366	0.0212266326	"BAP1"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	53258723	53290068	0.1915618171	"TKT"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	53190025	53226733	0.6288647793	"PRKCD"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52715172	52728508	2.20845e-05	"GNL3"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52279841	52284613	6.96551e-05	"PPM1M"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	121016567	121019201	0.0027494452	"POP5"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52321105	52329272	8.22418e-05	"GLYCTK"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52558386	52569070	0.4697142886	"NT5DC2"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	121837844	121868389	0.0013821941	"RNF34"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	122064455	122080583	0.603167059	"ORAI1"	NA	0	NA
"MSA"	NA	NA	NA	1	""	"RBC_invnorm"	28696114	28826881	0.1832377206	"PHACTR4"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52870235	52931612	0.758473522	"TMEM110"	NA	0	NA
"MSA"	NA	NA	NA	3	""	"RBC_invnorm"	52005442	52015212	0.0043459497	"ABHD14A"	NA	0	NA
"MSA"	NA	NA	NA	12	""	"MCV_invnorm"	120884241	120899389	0.0012088379	"GATC"	NA	0	NA
"MSA"	9	51738971	53742182	3	"SPCS1"	"RBC_invnorm"	52738971	52742182	4.2395693e-07	"SPCS1"	NA	1	0.067429884
"MSA"	50	120124672	122139667	12	"MLEC"	"MCV_invnorm"	121124672	121139667	6.910952e-13	"MLEC"	NA	1	0.0639142994
